Date,Elev_in,Rainfall_in,Inflow_in,Outflow_in,Water_Supply_cfs,Lake_Temp_F
8/3/2023,NaN,0,NaN,NaN,NaN,NaN
8/4/2023,215.64,0.1,237,392,50,NaN
8/5/2023,215.57,0.03,11,441,48,NaN
8/6/2023,215.52,0,200,489,53,NaN
8/7/2023,215.46,0.18,124,483,51,NaN
8/8/2023,215.47,0.34,574,458,47,NaN
8/9/2023,215.44,0,305,458,52,NaN
8/10/2023,215.43,0,440,457,52,NaN
8/11/2023,215.4,0.3,302,457,50,NaN
8/12/2023,215.38,0,348,435,50,NaN
8/13/2023,215.34,0,204,422,55,NaN
8/14/2023,NaN,0,NaN,NaN,NaN,NaN
8/15/2023,NaN,NaN,NaN,NaN,NaN,NaN
8/16/2023,215.17,0.14,30,393,47,NaN
8/17/2023,215.11,0,33,387,55,NaN
8/18/2023,215.05,0,64,421,53,NaN
8/19/2023,215.05,0,475,421,54,NaN
8/20/2023,214.96,0,-129,421,53,NaN
8/21/2023,214.9,0,101,437,56,NaN
8/22/2023,214.87,0,317,455,58,NaN
8/23/2023,214.72,0,-469,455,56,NaN
8/24/2023,214.32,0,-210,454,55,NaN
8/25/2023,214.26,0,121,453,60,NaN
8/26/2023,214.23,0,313,453,56,NaN
8/27/2023,214.25,0,639,453,55,NaN
8/28/2023,214.33,2.38,933,361,49,NaN
8/29/2023,214.36,0.05,441,194,51,NaN
8/30/2023,214.42,0.21,638,194,52,NaN
8/31/2023,214.44,0.78,369,195,43,NaN
9/1/2023,214.43,0,182,194,53,NaN
9/2/2023,214.41,0,112,194,49,NaN
9/3/2023,214.39,0,114,194,51,NaN
9/4/2023,214.34,0,18,295,50,NaN
9/5/2023,214.27,0,-11,388,58,NaN
9/6/2023,214.19,0,-78,388,57,NaN
9/7/2023,214.12,0,-12,387,58,NaN
9/8/2023,214.05,0,-13,387,57,NaN
9/9/2023,214.23,0,1620,387,57,NaN
9/10/2023,214.38,1.47,1416,388,48,NaN
9/11/2023,214.44,0.04,829,388,49,NaN
9/12/2023,214.47,0,634,388,50,NaN
9/13/2023,214.44,0.07,245,388,53,NaN
9/14/2023,214.61,0,1434,271,52,NaN
9/15/2023,214.52,0,87,296,53,NaN
9/16/2023,214.46,0,47,388,51,NaN
9/17/2023,214.43,0,245,388,53,NaN
9/18/2023,214.38,0.19,113,388,52,NaN
9/19/2023,214.31,0,-18,388,51,NaN
9/20/2023,214.25,0,50,388,54,NaN
9/21/2023,214.2,0,112,387,52,NaN
9/22/2023,214.25,0,766,387,52,NaN
9/23/2023,214.24,0.42,365,387,44,NaN
9/24/2023,214.38,0.8,1352,388,49,NaN
9/25/2023,214.42,0,698,388,49,NaN
9/26/2023,214.41,0,376,388,53,NaN
9/27/2023,214.36,0,111,388,50,NaN
9/28/2023,214.29,0,-18,388,52,NaN
9/29/2023,214.23,0,16,356,52,NaN
9/30/2023,214.17,0,44,387,49,NaN
10/1/2023,214.1,0,-20,387,50,NaN
10/2/2023,214.03,0,-19,387,51,NaN
10/3/2023,213.97,NaN,28,361,53,NaN
10/4/2023,213.91,NaN,-5,321,53,NaN
10/5/2023,213.86,0,56,321,51,NaN
10/6/2023,213.77,0,-174,342,52,NaN
10/7/2023,213.69,0,-101,355,49,NaN
10/8/2023,213.62,0,-33,355,54,NaN
10/9/2023,213.54,0,-101,355,49,NaN
10/10/2023,213.47,0,-30,355,57,NaN
10/11/2023,213.41,0,29,354,54,NaN
10/12/2023,213.34,0.04,-37,354,51,NaN
10/13/2023,213.27,0.03,-36,354,52,NaN
10/14/2023,213.37,0.43,1032,354,47,NaN
10/15/2023,213.45,0.82,907,354,48,NaN
10/16/2023,213.48,0,591,354,47,NaN
10/17/2023,213.44,0,150,354,49,NaN
10/18/2023,213.39,0,90,354,52,NaN
10/19/2023,213.33,0,24,354,49,NaN
10/20/2023,213.29,0,150,354,49,NaN
10/21/2023,213.23,0,20,354,45,NaN
10/22/2023,213.22,0,339,354,49,NaN
10/23/2023,213.16,0,25,354,50,NaN
10/24/2023,213.09,0,-38,354,50,NaN
10/25/2023,213.04,0,88,353,51,NaN
10/26/2023,212.99,0,89,353,48,NaN
10/27/2023,212.93,0,49,353,54,NaN
10/28/2023,212.86,0,-15,353,50,NaN
10/29/2023,212.8,0,60,353,51,NaN
10/30/2023,212.77,0,225,352,52,NaN
10/31/2023,212.66,0,-257,352,48,NaN
11/1/2023,212.61,0.07,102,352,48,NaN
11/2/2023,212.52,0,-156,332,49,NaN
11/3/2023,212.48,0,109,303,45,NaN
11/4/2023,212.42,0,-27,287,44,NaN
11/5/2023,212.37,0,39,287,50,NaN
11/6/2023,212.32,0,36,287,47,NaN
11/7/2023,212.27,0,40,286,52,NaN
11/8/2023,212.24,0,154,286,47,NaN
11/9/2023,212.18,0,-27,286,45,NaN
11/10/2023,212.13,0,35,286,47,NaN
11/11/2023,212.09,0,92,286,44,NaN
11/12/2023,212.03,0,-26,286,46,NaN
11/13/2023,211.98,0,-7,286,0,NaN
11/14/2023,211.93,0,-9,275,0,NaN
11/15/2023,211.88,0,12,251,46,NaN
11/16/2023,211.85,0,125,251,44,NaN
11/17/2023,211.8,0,11,251,45,NaN
11/18/2023,211.77,0,123,251,43,NaN
11/19/2023,211.71,0,-44,251,46,NaN
11/20/2023,211.69,0,183,251,46,NaN
11/21/2023,211.67,0,178,251,41,NaN
11/22/2023,211.91,1.92,1601,194,41,NaN
11/23/2023,212.13,0.06,1489,160,41,NaN
11/24/2023,212.24,0,859,161,41,NaN
11/25/2023,212.29,0,497,161,38,NaN
11/26/2023,212.27,0,83,161,41,NaN
11/27/2023,212.3,0.09,382,161,42,NaN
11/28/2023,212.29,0,141,161,39,NaN
11/29/2023,212.18,0,-30,167,42,NaN
11/30/2023,212.18,0,222,182,40,NaN
12/1/2023,212.17,0,173,191,41,NaN
12/2/2023,212.16,0,168,191,37,NaN
12/3/2023,212.15,0.03,171,191,39,NaN
12/4/2023,212.13,0,115,191,43,NaN
12/5/2023,212.14,0,290,191,39,NaN
12/6/2023,212.11,0.12,50,191,38,NaN
12/7/2023,212.11,0,231,191,40,NaN
12/8/2023,212.08,0,51,191,39,NaN
12/9/2023,212.06,0,110,191,38,NaN
12/10/2023,212.26,0,1420,191,35,NaN
12/11/2023,213.02,1.64,4771,192,35,NaN
12/12/2023,213.55,0,3578,193,39,NaN
12/13/2023,213.75,0,1495,193,40,NaN
12/14/2023,213.87,0,992,194,41,NaN
12/15/2023,213.95,0,739,194,40,NaN
12/16/2023,214,0,548,194,38,NaN
12/17/2023,215.08,0,7312,194,37,NaN
12/18/2023,218.02,3.04,21388,198,37,NaN
12/19/2023,218.59,0.02,6328,1822,40,NaN
12/20/2023,218.33,0,2490,4488,39,NaN
12/21/2023,217.9,0,1185,4475,40,NaN
12/22/2023,217.61,0,1234,3352,41,NaN
12/23/2023,217.47,0,997,2001,39,NaN
12/24/2023,217.29,0,696,1999,38,NaN
12/25/2023,217.11,0,694,1996,38,NaN
12/26/2023,217.02,0.04,1356,1993,34,NaN
12/27/2023,218.38,1.44,12467,2155,37,NaN
12/28/2023,219.29,0.02,9778,2485,39,NaN
12/29/2023,219.55,0,4493,2309,35,NaN
12/30/2023,219.55,0,2003,1969,34,NaN
12/31/2023,219.39,0,1417,2699,40,NaN
1/1/2024,219.04,0,1196,4051,37,NaN
1/2/2024,218.84,0,623,2168,39,NaN
1/3/2024,218.34,0,609,4489,37,NaN
1/4/2024,217.66,0.05,345,5503,38,NaN
1/5/2024,217.01,0,676,5474,42,NaN
1/6/2024,216.49,0.2,1706,5448,38,NaN
1/7/2024,216.59,0.66,6204,5440,37,NaN
1/8/2024,216.54,0,3271,3597,38,NaN
1/9/2024,218.05,0.11,11578,358,40,NaN
1/10/2024,223.09,1.99,43248,204,40,NaN
1/11/2024,224.47,0,14793,1507,40,NaN
1/12/2024,224.85,0,8321,4596,37,NaN
1/13/2024,226.32,0.84,20387,5083,36,NaN
1/14/2024,226.34,0,6086,5832,39,NaN
1/15/2024,225.91,0,3136,7687,38,NaN
1/16/2024,225.27,0,2218,8818,37,NaN
1/17/2024,224.43,0.28,1763,10058,37,NaN
1/18/2024,223.54,0,1470,9995,38,NaN
1/19/2024,222.58,0.03,913,9927,38,NaN
1/20/2024,221.6,0,1040,9856,38,NaN
1/21/2024,220.55,0,795,9779,38,NaN
1/22/2024,219.47,0,694,9698,40,NaN
1/23/2024,218.47,0,639,8675,0,NaN
1/24/2024,217.63,0,517,6914,41,NaN
1/25/2024,216.96,0.03,656,5599,39,NaN
1/26/2024,216.76,0.1,1773,3188,38,NaN
1/27/2024,216.9,0.02,2576,1519,40,NaN
1/28/2024,218.7,0.57,15226,1529,40,NaN
1/29/2024,219.47,0,9733,3459,40,NaN
